id,ean,upc,name,brand,model,price,old_price,sale_price,stock_online,stock_offline,warranty,width,height,depth,weight,url,small_description,long_description,images,category,properties
644,,,Otroško kolo 12 col BUTTONS moder-mat  RB12-15M-M,BUTTONS,RB,109.99,,,5,1,12,33,45,20,1.3,https://www.eigrace.eu/izdelek/otrosko-kolo-12-col-buttons-modre-mat-barve/,,,"https://www.eigrace.eu/wp-content/uploads/2017/05/10058_0.jpg,https://www.eigrace.eu/wp-content/uploads/2017/05/otroska-kolesa-royalbaby-buttons-14-col-moder-1.jpg,https://www.eigrace.eu/wp-content/uploads/2017/05/otroska-kolesa-royalbaby-buttons-14-col-moder.jpg",Šport in gibanje>Otroška kolesa>Otroška kolesa 12 col,"Width:33,Height:45,Depth:20"
647,,,Otroško kolo 14 col BUTTONS moder  RB14-15M-M,BUTTONS,RB,119.99,,,4,3,12,52,52,40,2.2,https://www.eigrace.eu/izdelek/otrosko-kolo-14-col-buttons-modre-barve/,,,"https://www.eigrace.eu/wp-content/uploads/2017/05/10037_0.jpg,https://www.eigrace.eu/wp-content/uploads/2017/05/otroska-kolesa-royalbaby-buttons-14-col-moder.jpg,https://www.eigrace.eu/wp-content/uploads/2017/05/otroska-kolesa-royalbaby-buttons-14-col-moder-1.jpg",Šport in gibanje>Otroška kolesa>Otroška kolesa 14 col,"Width:50,Height:50,Depth:42"
